Sem,Cod Docente,Sede,Atributo,Calificacion
1,A10053,LIMA CENTRO,ASISTENCIA,Observado
1,A10053,LIMA CENTRO,PUNTUALIDAD,Desaprobado
1,A10053,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,A10053,LIMA CENTRO,Observacion,Desaprobado
1,A10053,LIMA CENTRO,Capacitacion,Desaprobado
1,A10053,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,A10053,LIMA CENTRO,ACTITUD,Desaprobado
1,A10068,PIURA,ASISTENCIA,Observado
1,A10068,PIURA,PUNTUALIDAD,Desaprobado
1,A10068,PIURA,TOMA DE ASISTENCIA,Observado
1,A10068,PIURA,Observacion,Desaprobado
1,A10068,PIURA,Capacitacion,Desaprobado
1,A10068,PIURA,METODOLOGIA ENCUESTAS,Desaprobado
1,A10068,PIURA,ACTITUD,Desaprobado
1,A10088,WILSON,ASISTENCIA,Aprobado
1,A10088,WILSON,PUNTUALIDAD,Observado
1,A10088,WILSON,TOMA DE ASISTENCIA,Aprobado
1,A10088,WILSON,Observacion,Desaprobado
1,A10088,WILSON,Capacitacion,Desaprobado
1,A10088,WILSON,METODOLOGIA ENCUESTAS,Desaprobado
1,A10088,WILSON,ACTITUD,Desaprobado
1,A11114,ATE,ASISTENCIA,Observado
1,A11114,ATE,PUNTUALIDAD,Desaprobado
1,A11114,ATE,TOMA DE ASISTENCIA,Aprobado
1,A11114,ATE,Observacion,Desaprobado
1,A11114,ATE,Capacitacion,Desaprobado
1,A11114,ATE,METODOLOGIA ENCUESTAS,Desaprobado
1,A11114,ATE,ACTITUD,Desaprobado
1,A12129,PIURA,ASISTENCIA,Observado
1,A12129,PIURA,PUNTUALIDAD,Aprobado
1,A12129,PIURA,TOMA DE ASISTENCIA,Aprobado
1,A12129,PIURA,Observacion,Desaprobado
1,A12129,PIURA,Capacitacion,Desaprobado
1,A12129,PIURA,METODOLOGIA ENCUESTAS,Desaprobado
1,A12129,PIURA,ACTITUD,Desaprobado
1,A13041,TOMAS VALLE,ASISTENCIA,Aprobado
1,A13041,TOMAS VALLE,PUNTUALIDAD,Desaprobado
1,A13041,TOMAS VALLE,TOMA DE ASISTENCIA,Aprobado
1,A13041,TOMAS VALLE,Observacion,Desaprobado
1,A13041,TOMAS VALLE,Capacitacion,Desaprobado
1,A13041,TOMAS VALLE,METODOLOGIA ENCUESTAS,Desaprobado
1,A13041,TOMAS VALLE,ACTITUD,Desaprobado
1,A14056,ATE,ASISTENCIA,Aprobado
1,A14056,ATE,PUNTUALIDAD,Observado
1,A14056,ATE,TOMA DE ASISTENCIA,Aprobado
1,A14056,ATE,Observacion,Desaprobado
1,A14056,ATE,Capacitacion,Desaprobado
1,A14056,ATE,METODOLOGIA ENCUESTAS,Desaprobado
1,A14056,ATE,ACTITUD,Desaprobado
