pasajero,pclass,survived,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,has_cabin_number
1,1,1,female,29,0,0,24160,211.3375,B5,S,2,NA,1
2,1,1,male,0.9167,1,2,113781,151.55,C22 C26,S,11,NA,1
3,1,0,female,2,1,2,113781,151.55,C22 C26,S,NA,NA,1
4,1,0,male,30,1,2,113781,151.55,C22 C26,S,NA,135,1
5,1,0,female,25,1,2,113781,151.55,C22 C26,S,NA,NA,1
6,1,1,male,48,0,0,19952,26.55,E12,S,3,NA,1
7,1,1,female,63,1,0,13502,77.9583,D7,S,10,NA,1
8,1,0,male,39,0,0,112050,0,A36,S,NA,NA,1
9,1,1,female,53,2,0,11769,51.4792,C101,S,D,NA,1
10,1,0,male,71,0,0,PC 17609,49.5042,,C,NA,22,0
11,1,0,male,47,1,0,PC 17757,227.525,C62 C64,C,NA,124,1
12,1,1,female,18,1,0,PC 17757,227.525,C62 C64,C,4,NA,1
13,1,1,female,24,0,0,PC 17477,69.3,B35,C,9,NA,1
14,1,1,female,26,0,0,19877,78.85,,S,6,NA,0
15,1,1,male,80,0,0,27042,30,A23,S,B,NA,1
16,1,0,male,29.88113451,0,0,PC 17318,25.925,,S,NA,NA,0
17,1,0,male,24,0,1,PC 17558,247.5208,B58 B60,C,NA,NA,1
18,1,1,female,50,0,1,PC 17558,247.5208,B58 B60,C,6,NA,1
19,1,1,female,32,0,0,11813,76.2917,D15,C,8,NA,1
20,1,0,male,36,0,0,13050,75.2417,C6,C,A,NA,1
21,1,1,male,37,1,1,11751,52.5542,D35,S,5,NA,1
22,1,1,female,47,1,1,11751,52.5542,D35,S,5,NA,1
23,1,1,male,26,0,0,111369,30,C148,C,5,NA,1
24,1,1,female,42,0,0,PC 17757,227.525,,C,4,NA,0
25,1,1,female,29,0,0,PC 17483,221.7792,C97,S,8,NA,1
26,1,0,male,25,0,0,13905,26,,C,NA,148,0
27,1,1,male,25,1,0,11967,91.0792,B49,C,7,NA,1
28,1,1,female,19,1,0,11967,91.0792,B49,C,7,NA,1
29,1,1,female,35,0,0,PC 17760,135.6333,C99,S,8,NA,1
30,1,1,male,28,0,0,110564,26.55,C52,S,D,NA,1
31,1,0,male,45,0,0,113784,35.5,T,S,NA,NA,1
32,1,1,male,40,0,0,112277,31,A31,C,7,NA,1
33,1,1,female,30,0,0,36928,164.8667,C7,S,8,NA,1
34,1,1,female,58,0,0,113783,26.55,C103,S,8,NA,1
35,1,0,male,42,0,0,110489,26.55,D22,S,NA,NA,1
36,1,1,female,45,0,0,PC 17608,262.375,,C,4,NA,0
